
 a1 =  -0.000000000   5.340376980   5.340376980
 a2 =   5.340376980   0.000000000   5.340376980
 a3 =   5.340376980   5.340376980   0.000000000

 b1 =  -0.588271702   0.588271702   0.588271702
 b2 =   0.588271702  -0.588271702   0.588271702
 b3 =   0.588271702   0.588271702  -0.588271702

 volume = 304.611111419

 cutoff = 10.000000000

 grid = ( 7 7 7 ) -- minimal
        ( 7 7 7 ) -- factors 2, 3, 5, 7, 1*11, 1*13
        ( 8 8 8 ) -- factors 2, 3, 5

 Max G-vector indices : 3 3 3
 k-point = ( 0.000000000 0.000000000 0.000000000 )
 ng = 169

     n    g1    g2    g3     gx        gy        gz        ekin
 --------------------------------------------------------------------
     1    -3    -3    -3    -1.765    -1.765    -1.765     9.343717065
     2    -3    -3    -2    -1.177    -1.177    -2.353     8.305526280
     3    -3    -3    -1    -0.588    -0.588    -2.941     9.343717065
     4    -3    -2    -3    -1.177    -2.353    -1.177     8.305526280
     5    -3    -2    -2    -0.588    -1.765    -1.765     6.575208305
     6    -3    -2    -1     0.000    -1.177    -2.353     6.921271900
     7    -3    -2     0     0.588    -0.588    -2.941     9.343717065
     8    -3    -1    -3    -0.588    -2.941    -0.588     9.343717065
     9    -3    -1    -2     0.000    -2.353    -1.177     6.921271900
    10    -3    -1    -1     0.588    -1.765    -1.765     6.575208305
    11    -3    -1     0     1.177    -1.177    -2.353     8.305526280
    12    -3     0    -2     0.588    -2.941    -0.588     9.343717065
    13    -3     0    -1     1.177    -2.353    -1.177     8.305526280
    14    -3     0     0     1.765    -1.765    -1.765     9.343717065
    15    -2    -3    -3    -2.353    -1.177    -1.177     8.305526280
    16    -2    -3    -2    -1.765    -0.588    -1.765     6.575208305
    17    -2    -3    -1    -1.177     0.000    -2.353     6.921271900
    18    -2    -3     0    -0.588     0.588    -2.941     9.343717065
    19    -2    -2    -3    -1.765    -1.765    -0.588     6.575208305
    20    -2    -2    -2    -1.177    -1.177    -1.177     4.152763140
    21    -2    -2    -1    -0.588    -0.588    -1.765     3.806699545
    22    -2    -2     0     0.000     0.000    -2.353     5.537017520
    23    -2    -2     1     0.588     0.588    -2.941     9.343717065
    24    -2    -1    -3    -1.177    -2.353     0.000     6.921271900
    25    -2    -1    -2    -0.588    -1.765    -0.588     3.806699545
    26    -2    -1    -1     0.000    -1.177    -1.177     2.768508760
    27    -2    -1     0     0.588    -0.588    -1.765     3.806699545
    28    -2    -1     1     1.177     0.000    -2.353     6.921271900
    29    -2     0    -3    -0.588    -2.941     0.588     9.343717065
